state,date,rainfall,price
chandigarh,01-01-2013,,8
,01-01-2013,,12
haryana,01-01-2013,21.1,
haryana,01-01-2013,21.1,
himachal pradesh,01-01-2013,79.9,
himachal pradesh,01-01-2013,79.9,16
jammu kashmir,01-01-2013,,20
jammu kashmir,01-01-2013,,15
punjab,01-01-2013,9.3,11
punjab,01-01-2013,9.3,
punjab,01-01-2013,9.3,
uttar pradesh,01-01-2013,6.1,10
,01-01-2013,,8
uttar pradesh,01-01-2013,6.1,10
uttar pradesh,01-01-2013,6.1,10
uttarakhand,01-01-2013,73,12
chhattisgarh,01-01-2013,2.8,16
,01-01-2013,,
gujarat,01-01-2013,0,18
gujarat,01-01-2013,0,16
madhya pradesh,01-01-2013,1.7,15
madhya pradesh,01-01-2013,1.7,15
madhya pradesh,01-01-2013,1.7,10
madhya pradesh,01-01-2013,1.7,
,01-01-2013,,17
maharashtra,01-01-2013,0.1,17
rajasthan,01-01-2013,1.4,10
rajasthan,01-01-2013,1.4,10
rajasthan,01-01-2013,1.4,
bihar,01-01-2013,5.1,
bihar,01-01-2013,5.1,
jharkhand,01-01-2013,1.1,
,01-01-2013,,13
odisha,01-01-2013,,14
odisha,01-01-2013,,13
west bengal,01-01-2013,2.5,12
,01-01-2013,,10
,01-01-2013,,24
,01-01-2013,,
,01-01-2013,,10
,01-01-2013,,
,01-01-2013,,
nagaland,01-01-2013,,
,01-01-2013,,20
,01-01-2013,,19
,01-01-2013,,22
karnataka,01-01-2013,2.4,18
,01-01-2013,,27
kerala,01-01-2013,3.9,27
kerala,01-01-2013,3.9,23
puducherry,01-01-2013,,
tamil nadu,01-01-2013,3.9,
tamil nadu,01-01-2013,3.9,
,01-01-2013,,
telangana,01-01-2013,2.4,20
chandigarh,02-01-2013,,8
,02-01-2013,,11
haryana,02-01-2013,21.1,9
haryana,02-01-2013,21.1,9
himachal pradesh,02-01-2013,79.9,
himachal pradesh,02-01-2013,79.9,16
jammu kashmir,02-01-2013,,20
jammu kashmir,02-01-2013,,15
punjab,02-01-2013,9.3,11
punjab,02-01-2013,9.3,
punjab,02-01-2013,9.3,
uttar pradesh,02-01-2013,6.1,10
,02-01-2013,,8
uttar pradesh,02-01-2013,6.1,10
uttar pradesh,02-01-2013,6.1,10
uttarakhand,02-01-2013,73,12
chhattisgarh,02-01-2013,2.8,16
,02-01-2013,,
gujarat,02-01-2013,0,18
gujarat,02-01-2013,0,16
madhya pradesh,02-01-2013,1.7,15
madhya pradesh,02-01-2013,1.7,15
madhya pradesh,02-01-2013,1.7,10
madhya pradesh,02-01-2013,1.7,10
,02-01-2013,,18
maharashtra,02-01-2013,0.1,17
rajasthan,02-01-2013,1.4,
rajasthan,02-01-2013,1.4,
rajasthan,02-01-2013,1.4,7
bihar,02-01-2013,5.1,13
bihar,02-01-2013,5.1,8
jharkhand,02-01-2013,1.1,
,02-01-2013,,13
odisha,02-01-2013,,13
odisha,02-01-2013,,13
west bengal,02-01-2013,2.5,12
,02-01-2013,,10
,02-01-2013,,24
,02-01-2013,,
,02-01-2013,,10
,02-01-2013,,
,02-01-2013,,
nagaland,02-01-2013,,
