Date,Centre_Name,Commodity_Name,Price
01-01-2013,CHANDIGARH,Potato,8
01-01-2013,DELHI,Potato,12
01-01-2013,HISAR,Potato,NA
01-01-2013,KARNAL,Potato,NA
01-01-2013,SHIMLA,Potato,NA
01-01-2013,MANDI,Potato,16
01-01-2013,SRINAGAR,Potato,20
01-01-2013,JAMMU,Potato,15
01-01-2013,AMRITSAR,Potato,11
01-01-2013,LUDHIANA,Potato,NA
01-01-2013,BATHINDA,Potato,NA
01-01-2013,LUCKNOW,Potato,10
01-01-2013,KANPUR,Potato,8
01-01-2013,VARANASI,Potato,10
01-01-2013,AGRA,Potato,10
01-01-2013,DEHRADUN,Potato,12
01-01-2013,RAIPUR,Potato,16
01-01-2013,PANAJI,Potato,NA
01-01-2013,AHMEDABAD,Potato,18
01-01-2013,RAJKOT,Potato,16
01-01-2013,BHOPAL,Potato,15
01-01-2013,INDORE,Potato,15
01-01-2013,GWALIOR,Potato,10
01-01-2013,JABALPUR,Potato,NA
01-01-2013,MUMBAI,Potato,17
01-01-2013,NAGPUR,Potato,17
01-01-2013,JAIPUR,Potato,10
01-01-2013,JODHPUR,Potato,10
01-01-2013,KOTA,Potato,NA
01-01-2013,PATNA,Potato,NA
01-01-2013,BHAGALPUR,Potato,NA
01-01-2013,RANCHI,Potato,NA
01-01-2013,BHUBANESHWAR,Potato,13
01-01-2013,CUTTACK,Potato,14
01-01-2013,SAMBALPUR,Potato,13
01-01-2013,KOLKATA,Potato,12
01-01-2013,SILIGURI,Potato,10
01-01-2013,PORT BLAIR,Potato,24
01-01-2013,ITANAGAR,Potato,NA
01-01-2013,GUWAHATI,Potato,10
01-01-2013,SHILLONG,Potato,NA
01-01-2013,AIZWAL,Potato,NA
01-01-2013,DIMAPUR,Potato,NA
01-01-2013,AGARTALA,Potato,20
01-01-2013,VIJAYWADA,Potato,19
01-01-2013,BENGALURU,Potato,22
01-01-2013,DHARWAD,Potato,18
01-01-2013,T.PURAM,Potato,27
01-01-2013,ERNAKULAM,Potato,27
01-01-2013,KOZHIKODE,Potato,23
01-01-2013,PUDUCHERRY,Potato,NA
01-01-2013,CHENNAI,Potato,NA
01-01-2013,DINDIGUL,Potato,NA
01-01-2013,THIRUCHIRAPALLI,Potato,NA
01-01-2013,HYDERABAD,Potato,20
02-01-2013,CHANDIGARH,Potato,8
02-01-2013,DELHI,Potato,11
02-01-2013,HISAR,Potato,9
02-01-2013,KARNAL,Potato,9
02-01-2013,SHIMLA,Potato,NA
02-01-2013,MANDI,Potato,16
02-01-2013,SRINAGAR,Potato,20
02-01-2013,JAMMU,Potato,15
