State,District,,
Andaman Nicobar,Nicobar,,
Andaman Nicobar,North Middle Andaman,,
Andaman Nicobar,South Andaman,,
Andhra Pradesh,Alluri Sitarama Raju,,
Andhra Pradesh,Anakapalli,,
Andhra Pradesh,Anantapur,,
Andhra Pradesh,Annamaya,,
Andhra Pradesh,Bapatla,,
Andhra Pradesh,Chittoor,,
Andhra Pradesh,East Godavari,,
Andhra Pradesh,Eluru,,
Andhra Pradesh,Guntur,,
Andhra Pradesh,Kadapa,,
Andhra Pradesh,Kakinada ,,
Andhra Pradesh,Konaseema,,
Andhra Pradesh,Krishna,,
Andhra Pradesh,Kurnool,,
Andhra Pradesh,Manyam,,
Andhra Pradesh,N T Rama Rao,,
Andhra Pradesh,Nandyal,,
Andhra Pradesh,Nellore,,
Andhra Pradesh,Palnadu,,
Andhra Pradesh,Prakasam,,
Andhra Pradesh,Sri Balaji,,
Andhra Pradesh,Sri Satya Sai,,
Andhra Pradesh,Srikakulam,,
Andhra Pradesh,Visakhapatnam,,
Andhra Pradesh,Vizianagaram,,
Andhra Pradesh,West Godavari,,
Arunachal Pradesh,Anjaw,,
Arunachal Pradesh,Bichom,,
Arunachal Pradesh,Central Siang,,
Arunachal Pradesh,Changlang,,
Arunachal Pradesh,Dibang Valley,,
Arunachal Pradesh,East Kameng,,
Arunachal Pradesh,East Siang,,
Arunachal Pradesh,Kamle,,
Arunachal Pradesh,Keyi Panyor,,
Arunachal Pradesh,Kra Daadi,,
Arunachal Pradesh,Kurung Kumey,,
Arunachal Pradesh,Lepa Rada,,
Arunachal Pradesh,Lohit,,
Arunachal Pradesh,Longding,,
Arunachal Pradesh,Lower Dibang Valley,,
Arunachal Pradesh,Lower Siang,,
Arunachal Pradesh,Lower Subansiri,,
Arunachal Pradesh,Namsai,,
Arunachal Pradesh,Pakke Kessang,,
Arunachal Pradesh,Papum Pare,,
Arunachal Pradesh,Shi Yomi,,
Arunachal Pradesh,Tawang,,
Arunachal Pradesh,Tirap,,
Arunachal Pradesh,Upper Siang,,
Arunachal Pradesh,Upper Subansiri,,
Arunachal Pradesh,West Kameng,,
Arunachal Pradesh,West Siang,,
Assam,Bajali,,
Assam,Baksa,,
Assam,Barpeta,,
Assam,Biswanath,,
Assam,Bongaigaon,,
Assam,Cachar,,
Assam,Charaideo,,
Assam,Chirang,,
Assam,Darrang,,
Assam,Dhemaji,,
Assam,Dhubri,,
Assam,Dibrugarh,,
Assam,Dima Hasao,,
Assam,Goalpara,,
Assam,Golaghat,,
Assam,Hailakandi,,
Assam,Hojai,,
Assam,Jorhat,,
Assam,Kamrup,,
Assam,Kamrup Metropolitan,,
Assam,Karbi Anglong,,
Assam,Karimganj,,
Assam,Kokrajhar,,
Assam,Lakhimpur,,
Assam,Majuli,,
Assam,Morigaon,,
Assam,Nagaon,,
Assam,Nalbari,,
Assam,Sivasagar,,
Assam,Sonitpur,,
Assam,South Salmara-Mankachar,,
Assam,Tamulpur,,
Assam,Tinsukia,,
Assam,Udalguri,,
Assam,West Karbi Anglong,,
Bihar,Araria,,
Bihar,Arwal,,
Bihar,Aurangabad,,
Bihar,Banka,,
Bihar,Begusarai,,
Bihar,Bhagalpur,,
Bihar,Bhojpur,,
Bihar,Buxar,,
Bihar,Darbhanga,,
Bihar,East Champaran,,
Bihar,Gaya,,
Bihar,Gopalganj,,
Bihar,Jamui,,
Bihar,Jehanabad,,
Bihar,Kaimur,,
Bihar,Katihar,,
Bihar,Khagaria,,
Bihar,Kishanganj,,
Bihar,Lakhisarai,,
Bihar,Madhepura,,
Bihar,Madhubani,,
Bihar,Munger,,
Bihar,Muzaffarpur,,
Bihar,Nalanda,,
Bihar,Nawada,,
Bihar,Patna,,
Bihar,Purnia,,
